
01.02armB  <  (87,251) (87,252) (88,252) (88,251) > 
26.23armB  <  (2262,3401) (2262,3402) (2263,3402) (2263,3401) > 
26.25armB  <  (2262,3701) (2262,3702) (2263,3702) (2263,3701) > 
26.27armB  <  (2262,4001) (2262,4002) (2263,4002) (2263,4001) > 
26.29armB  <  (2262,4301) (2262,4302) (2263,4302) (2263,4301) > 
26.31armB  <  (2262,4601) (2262,4602) (2263,4602) (2263,4601) > 
26.33armB  <  (2262,4901) (2262,4902) (2263,4902) (2263,4901) > 
27.02armB  <  (2349,251) (2349,252) (2350,252) (2350,251) > 
27.04armB  <  (2349,551) (2349,552) (2350,552) (2350,551) > 
27.06armB  <  (2349,851) (2349,852) (2350,852) (2350,851) > 
27.08armB  <  (2349,1151) (2349,1152) (2350,1152) (2350,1151) > 
27.10armB  <  (2349,1451) (2349,1452) (2350,1452) (2350,1451) > 
27.12armB  <  (2349,1751) (2349,1752) (2350,1752) (2350,1751) > 
27.14armB  <  (2349,2051) (2349,2052) (2350,2052) (2350,2051) > 
27.16armB  <  (2349,2351) (2349,2352) (2350,2352) (2350,2351) > 
27.18armB  <  (2349,2651) (2349,2652) (2350,2652) (2350,2651) > 
27.20armB  <  (2349,2951) (2349,2952) (2350,2952) (2350,2951) > 
27.22armB  <  (2349,3251) (2349,3252) (2350,3252) (2350,3251) > 
27.24armB  <  (2349,3551) (2349,3552) (2350,3552) (2350,3551) > 
27.26armB  <  (2349,3851) (2349,3852) (2350,3852) (2350,3851) > 
27.28armB  <  (2349,4151) (2349,4152) (2350,4152) (2350,4151) > 
27.30armB  <  (2349,4451) (2349,4452) (2350,4452) (2350,4451) > 
27.32armB  <  (2349,4751) (2349,4752) (2350,4752) (2350,4751) > 
27.34armB  <  (2349,5051) (2349,5052) (2350,5052) (2350,5051) > 
28.01armB  <  (2436,101) (2436,102) (2437,102) (2437,101) > 
28.03armB  <  (2436,401) (2436,402) (2437,402) (2437,401) > 
28.05armB  <  (2436,701) (2436,702) (2437,702) (2437,701) > 
28.07armB  <  (2436,1001) (2436,1002) (2437,1002) (2437,1001) > 
28.09armB  <  (2436,1301) (2436,1302) (2437,1302) (2437,1301) > 
28.11armB  <  (2436,1601) (2436,1602) (2437,1602) (2437,1601) > 
28.13armB  <  (2436,1901) (2436,1902) (2437,1902) (2437,1901) > 
28.15armB  <  (2436,2201) (2436,2202) (2437,2202) (2437,2201) > 
28.17armB  <  (2436,2501) (2436,2502) (2437,2502) (2437,2501) > 
28.19armB  <  (2436,2801) (2436,2802) (2437,2802) (2437,2801) > 
28.21armB  <  (2436,3101) (2436,3102) (2437,3102) (2437,3101) > 
28.23armB  <  (2436,3401) (2436,3402) (2437,3402) (2437,3401) > 
28.25armB  <  (2436,3701) (2436,3702) (2437,3702) (2437,3701) > 
28.27armB  <  (2436,4001) (2436,4002) (2437,4002) (2437,4001) > 
28.29armB  <  (2436,4301) (2436,4302) (2437,4302) (2437,4301) > 
28.31armB  <  (2436,4601) (2436,4602) (2437,4602) (2437,4601) > 
28.33armB  <  (2436,4901) (2436,4902) (2437,4902) (2437,4901) > 
29.02armB  <  (2523,251) (2523,252) (2524,252) (2524,251) > 
29.04armB  <  (2523,551) (2523,552) (2524,552) (2524,551) > 
29.06armB  <  (2523,851) (2523,852) (2524,852) (2524,851) > 
29.08armB  <  (2523,1151) (2523,1152) (2524,1152) (2524,1151) > 
29.10armB  <  (2523,1451) (2523,1452) (2524,1452) (2524,1451) > 
29.12armB  <  (2523,1751) (2523,1752) (2524,1752) (2524,1751) > 
29.14armB  <  (2523,2051) (2523,2052) (2524,2052) (2524,2051) > 
29.16armB  <  (2523,2351) (2523,2352) (2524,2352) (2524,2351) > 
29.18armB  <  (2523,2651) (2523,2652) (2524,2652) (2524,2651) > 
29.20armB  <  (2523,2951) (2523,2952) (2524,2952) (2524,2951) > 
29.22armB  <  (2523,3251) (2523,3252) (2524,3252) (2524,3251) > 
29.24armB  <  (2523,3551) (2523,3552) (2524,3552) (2524,3551) > 
29.26armB  <  (2523,3851) (2523,3852) (2524,3852) (2524,3851) > 
29.28armB  <  (2523,4151) (2523,4152) (2524,4152) (2524,4151) > 
29.30armB  <  (2523,4451) (2523,4452) (2524,4452) (2524,4451) > 
29.32armB  <  (2523,4751) (2523,4752) (2524,4752) (2524,4751) > 
29.34armB  <  (2523,5051) (2523,5052) (2524,5052) (2524,5051) > 
30.01armB  <  (2610,101) (2610,102) (2611,102) (2611,101) > 
30.03armB  <  (2610,401) (2610,402) (2611,402) (2611,401) > 
30.05armB  <  (2610,701) (2610,702) (2611,702) (2611,701) > 
30.07armB  <  (2610,1001) (2610,1002) (2611,1002) (2611,1001) > 
30.09armB  <  (2610,1301) (2610,1302) (2611,1302) (2611,1301) > 
30.11armB  <  (2610,1601) (2610,1602) (2611,1602) (2611,1601) > 
30.13armB  <  (2610,1901) (2610,1902) (2611,1902) (2611,1901) > 
30.15armB  <  (2610,2201) (2610,2202) (2611,2202) (2611,2201) > 
30.17armB  <  (2610,2501) (2610,2502) (2611,2502) (2611,2501) > 
30.19armB  <  (2610,2801) (2610,2802) (2611,2802) (2611,2801) > 
30.21armB  <  (2610,3101) (2610,3102) (2611,3102) (2611,3101) > 
30.23armB  <  (2610,3401) (2610,3402) (2611,3402) (2611,3401) > 
30.25armB  <  (2610,3701) (2610,3702) (2611,3702) (2611,3701) > 
30.27armB  <  (2610,4001) (2610,4002) (2611,4002) (2611,4001) > 
30.29armB  <  (2610,4301) (2610,4302) (2611,4302) (2611,4301) > 
30.31armB  <  (2610,4601) (2610,4602) (2611,4602) (2611,4601) > 
30.33armB  <  (2610,4901) (2610,4902) (2611,4902) (2611,4901) > 
31.02armB  <  (2697,251) (2697,252) (2698,252) (2698,251) > 
31.04armB  <  (2697,551) (2697,552) (2698,552) (2698,551) > 
31.06armB  <  (2697,851) (2697,852) (2698,852) (2698,851) > 
31.08armB  <  (2697,1151) (2697,1152) (2698,1152) (2698,1151) > 
31.10armB  <  (2697,1451) (2697,1452) (2698,1452) (2698,1451) > 
31.12armB  <  (2697,1751) (2697,1752) (2698,1752) (2698,1751) > 
31.14armB  <  (2697,2051) (2697,2052) (2698,2052) (2698,2051) > 
31.16armB  <  (2697,2351) (2697,2352) (2698,2352) (2698,2351) > 
31.18armB  <  (2697,2651) (2697,2652) (2698,2652) (2698,2651) > 
31.20armB  <  (2697,2951) (2697,2952) (2698,2952) (2698,2951) > 
31.22armB  <  (2697,3251) (2697,3252) (2698,3252) (2698,3251) > 
31.24armB  <  (2697,3551) (2697,3552) (2698,3552) (2698,3551) > 
31.26armB  <  (2697,3851) (2697,3852) (2698,3852) (2698,3851) > 
31.28armB  <  (2697,4151) (2697,4152) (2698,4152) (2698,4151) > 
31.30armB  <  (2697,4451) (2697,4452) (2698,4452) (2698,4451) > 
31.32armB  <  (2697,4751) (2697,4752) (2698,4752) (2698,4751) > 
31.34armB  <  (2697,5051) (2697,5052) (2698,5052) (2698,5051) > 
32.01armB  <  (2784,101) (2784,102) (2785,102) (2785,101) > 
32.03armB  <  (2784,401) (2784,402) (2785,402) (2785,401) > 
32.05armB  <  (2784,701) (2784,702) (2785,702) (2785,701) > 
32.07armB  <  (2784,1001) (2784,1002) (2785,1002) (2785,1001) > 
32.09armB  <  (2784,1301) (2784,1302) (2785,1302) (2785,1301) > 
32.11armB  <  (2784,1601) (2784,1602) (2785,1602) (2785,1601) > 
32.13armB  <  (2784,1901) (2784,1902) (2785,1902) (2785,1901) > 
32.15armB  <  (2784,2201) (2784,2202) (2785,2202) (2785,2201) > 
32.17armB  <  (2784,2501) (2784,2502) (2785,2502) (2785,2501) > 
32.19armB  <  (2784,2801) (2784,2802) (2785,2802) (2785,2801) > 
32.21armB  <  (2784,3101) (2784,3102) (2785,3102) (2785,3101) > 
32.23armB  <  (2784,3401) (2784,3402) (2785,3402) (2785,3401) > 
32.25armB  <  (2784,3701) (2784,3702) (2785,3702) (2785,3701) > 
32.27armB  <  (2784,4001) (2784,4002) (2785,4002) (2785,4001) > 
32.29armB  <  (2784,4301) (2784,4302) (2785,4302) (2785,4301) > 
32.31armB  <  (2784,4601) (2784,4602) (2785,4602) (2785,4601) > 
32.33armB  <  (2784,4901) (2784,4902) (2785,4902) (2785,4901) > 
33.02armB  <  (2871,251) (2871,252) (2872,252) (2872,251) > 
33.04armB  <  (2871,551) (2871,552) (2872,552) (2872,551) > 
33.06armB  <  (2871,851) (2871,852) (2872,852) (2872,851) > 
33.08armB  <  (2871,1151) (2871,1152) (2872,1152) (2872,1151) > 
33.10armB  <  (2871,1451) (2871,1452) (2872,1452) (2872,1451) > 
33.12armB  <  (2871,1751) (2871,1752) (2872,1752) (2872,1751) > 
33.14armB  <  (2871,2051) (2871,2052) (2872,2052) (2872,2051) > 
33.16armB  <  (2871,2351) (2871,2352) (2872,2352) (2872,2351) > 
33.18armB  <  (2871,2651) (2871,2652) (2872,2652) (2872,2651) > 
33.20armB  <  (2871,2951) (2871,2952) (2872,2952) (2872,2951) > 
33.22armB  <  (2871,3251) (2871,3252) (2872,3252) (2872,3251) > 
33.24armB  <  (2871,3551) (2871,3552) (2872,3552) (2872,3551) > 
33.26armB  <  (2871,3851) (2871,3852) (2872,3852) (2872,3851) > 
33.28armB  <  (2871,4151) (2871,4152) (2872,4152) (2872,4151) > 
33.30armB  <  (2871,4451) (2871,4452) (2872,4452) (2872,4451) > 
33.32armB  <  (2871,4751) (2871,4752) (2872,4752) (2872,4751) > 
33.34armB  <  (2871,5051) (2871,5052) (2872,5052) (2872,5051) > 
34.01armB  <  (2958,101) (2958,102) (2959,102) (2959,101) > 
34.03armB  <  (2958,401) (2958,402) (2959,402) (2959,401) > 
34.05armB  <  (2958,701) (2958,702) (2959,702) (2959,701) > 
34.07armB  <  (2958,1001) (2958,1002) (2959,1002) (2959,1001) > 
34.09armB  <  (2958,1301) (2958,1302) (2959,1302) (2959,1301) > 
34.11armB  <  (2958,1601) (2958,1602) (2959,1602) (2959,1601) > 
34.13armB  <  (2958,1901) (2958,1902) (2959,1902) (2959,1901) > 
34.15armB  <  (2958,2201) (2958,2202) (2959,2202) (2959,2201) > 
34.17armB  <  (2958,2501) (2958,2502) (2959,2502) (2959,2501) > 
34.19armB  <  (2958,2801) (2958,2802) (2959,2802) (2959,2801) > 
34.21armB  <  (2958,3101) (2958,3102) (2959,3102) (2959,3101) > 
34.23armB  <  (2958,3401) (2958,3402) (2959,3402) (2959,3401) > 
34.25armB  <  (2958,3701) (2958,3702) (2959,3702) (2959,3701) > 
34.27armB  <  (2958,4001) (2958,4002) (2959,4002) (2959,4001) > 
34.29armB  <  (2958,4301) (2958,4302) (2959,4302) (2959,4301) > 
34.31armB  <  (2958,4601) (2958,4602) (2959,4602) (2959,4601) > 
34.33armB  <  (2958,4901) (2958,4902) (2959,4902) (2959,4901) > 
35.02armB  <  (3045,251) (3045,252) (3046,252) (3046,251) > 
35.04armB  <  (3045,551) (3045,552) (3046,552) (3046,551) > 
35.06armB  <  (3045,851) (3045,852) (3046,852) (3046,851) > 
35.08armB  <  (3045,1151) (3045,1152) (3046,1152) (3046,1151) > 
35.10armB  <  (3045,1451) (3045,1452) (3046,1452) (3046,1451) > 
35.12armB  <  (3045,1751) (3045,1752) (3046,1752) (3046,1751) > 
35.14armB  <  (3045,2051) (3045,2052) (3046,2052) (3046,2051) > 
35.16armB  <  (3045,2351) (3045,2352) (3046,2352) (3046,2351) > 
35.18armB  <  (3045,2651) (3045,2652) (3046,2652) (3046,2651) > 
35.20armB  <  (3045,2951) (3045,2952) (3046,2952) (3046,2951) > 
35.22armB  <  (3045,3251) (3045,3252) (3046,3252) (3046,3251) > 
35.24armB  <  (3045,3551) (3045,3552) (3046,3552) (3046,3551) > 
35.26armB  <  (3045,3851) (3045,3852) (3046,3852) (3046,3851) > 
35.28armB  <  (3045,4151) (3045,4152) (3046,4152) (3046,4151) > 
35.30armB  <  (3045,4451) (3045,4452) (3046,4452) (3046,4451) > 
35.32armB  <  (3045,4751) (3045,4752) (3046,4752) (3046,4751) > 
35.34armB  <  (3045,5051) (3045,5052) (3046,5052) (3046,5051) > 
36.01armB  <  (3132,101) (3132,102) (3133,102) (3133,101) > 
36.03armB  <  (3132,401) (3132,402) (3133,402) (3133,401) > 
36.05armB  <  (3132,701) (3132,702) (3133,702) (3133,701) > 
36.07armB  <  (3132,1001) (3132,1002) (3133,1002) (3133,1001) > 
36.09armB  <  (3132,1301) (3132,1302) (3133,1302) (3133,1301) > 
36.11armB  <  (3132,1601) (3132,1602) (3133,1602) (3133,1601) > 
36.13armB  <  (3132,1901) (3132,1902) (3133,1902) (3133,1901) > 
36.15armB  <  (3132,2201) (3132,2202) (3133,2202) (3133,2201) > 
36.17armB  <  (3132,2501) (3132,2502) (3133,2502) (3133,2501) > 
36.19armB  <  (3132,2801) (3132,2802) (3133,2802) (3133,2801) > 
36.21armB  <  (3132,3101) (3132,3102) (3133,3102) (3133,3101) > 
36.23armB  <  (3132,3401) (3132,3402) (3133,3402) (3133,3401) > 
36.25armB  <  (3132,3701) (3132,3702) (3133,3702) (3133,3701) > 
36.27armB  <  (3132,4001) (3132,4002) (3133,4002) (3133,4001) > 
36.29armB  <  (3132,4301) (3132,4302) (3133,4302) (3133,4301) > 
36.31armB  <  (3132,4601) (3132,4602) (3133,4602) (3133,4601) > 
36.33armB  <  (3132,4901) (3132,4902) (3133,4902) (3133,4901) > 
37.02armB  <  (3219,251) (3219,252) (3220,252) (3220,251) > 
37.04armB  <  (3219,551) (3219,552) (3220,552) (3220,551) > 
37.06armB  <  (3219,851) (3219,852) (3220,852) (3220,851) > 
37.08armB  <  (3219,1151) (3219,1152) (3220,1152) (3220,1151) > 
37.10armB  <  (3219,1451) (3219,1452) (3220,1452) (3220,1451) > 
37.12armB  <  (3219,1751) (3219,1752) (3220,1752) (3220,1751) > 
37.14armB  <  (3219,2051) (3219,2052) (3220,2052) (3220,2051) > 
37.16armB  <  (3219,2351) (3219,2352) (3220,2352) (3220,2351) > 
37.18armB  <  (3219,2651) (3219,2652) (3220,2652) (3220,2651) > 
37.20armB  <  (3219,2951) (3219,2952) (3220,2952) (3220,2951) > 
37.22armB  <  (3219,3251) (3219,3252) (3220,3252) (3220,3251) > 
37.24armB  <  (3219,3551) (3219,3552) (3220,3552) (3220,3551) > 
37.26armB  <  (3219,3851) (3219,3852) (3220,3852) (3220,3851) > 
37.28armB  <  (3219,4151) (3219,4152) (3220,4152) (3220,4151) > 
37.30armB  <  (3219,4451) (3219,4452) (3220,4452) (3220,4451) > 
37.32armB  <  (3219,4751) (3219,4752) (3220,4752) (3220,4751) > 
37.34armB  <  (3219,5051) (3219,5052) (3220,5052) (3220,5051) > 
38.01armB  <  (3306,101) (3306,102) (3307,102) (3307,101) > 
38.03armB  <  (3306,401) (3306,402) (3307,402) (3307,401) > 
38.05armB  <  (3306,701) (3306,702) (3307,702) (3307,701) > 
38.07armB  <  (3306,1001) (3306,1002) (3307,1002) (3307,1001) > 
38.09armB  <  (3306,1301) (3306,1302) (3307,1302) (3307,1301) > 
38.11armB  <  (3306,1601) (3306,1602) (3307,1602) (3307,1601) > 
38.13armB  <  (3306,1901) (3306,1902) (3307,1902) (3307,1901) > 
38.15armB  <  (3306,2201) (3306,2202) (3307,2202) (3307,2201) > 
38.17armB  <  (3306,2501) (3306,2502) (3307,2502) (3307,2501) > 
38.19armB  <  (3306,2801) (3306,2802) (3307,2802) (3307,2801) > 
38.21armB  <  (3306,3101) (3306,3102) (3307,3102) (3307,3101) > 
38.23armB  <  (3306,3401) (3306,3402) (3307,3402) (3307,3401) > 
38.25armB  <  (3306,3701) (3306,3702) (3307,3702) (3307,3701) > 
38.27armB  <  (3306,4001) (3306,4002) (3307,4002) (3307,4001) > 
38.29armB  <  (3306,4301) (3306,4302) (3307,4302) (3307,4301) > 
38.31armB  <  (3306,4601) (3306,4602) (3307,4602) (3307,4601) > 
38.33armB  <  (3306,4901) (3306,4902) (3307,4902) (3307,4901) > 
39.02armB  <  (3393,251) (3393,252) (3394,252) (3394,251) > 
39.04armB  <  (3393,551) (3393,552) (3394,552) (3394,551) > 
39.06armB  <  (3393,851) (3393,852) (3394,852) (3394,851) > 
39.08armB  <  (3393,1151) (3393,1152) (3394,1152) (3394,1151) > 
39.10armB  <  (3393,1451) (3393,1452) (3394,1452) (3394,1451) > 
39.12armB  <  (3393,1751) (3393,1752) (3394,1752) (3394,1751) > 
39.14armB  <  (3393,2051) (3393,2052) (3394,2052) (3394,2051) > 
39.16armB  <  (3393,2351) (3393,2352) (3394,2352) (3394,2351) > 
39.18armB  <  (3393,2651) (3393,2652) (3394,2652) (3394,2651) > 
39.20armB  <  (3393,2951) (3393,2952) (3394,2952) (3394,2951) > 
39.22armB  <  (3393,3251) (3393,3252) (3394,3252) (3394,3251) > 
39.24armB  <  (3393,3551) (3393,3552) (3394,3552) (3394,3551) > 
39.26armB  <  (3393,3851) (3393,3852) (3394,3852) (3394,3851) > 
39.28armB  <  (3393,4151) (3393,4152) (3394,4152) (3394,4151) > 
39.30armB  <  (3393,4451) (3393,4452) (3394,4452) (3394,4451) > 
39.32armB  <  (3393,4751) (3393,4752) (3394,4752) (3394,4751) > 
39.34armB  <  (3393,5051) (3393,5052) (3394,5052) (3394,5051) > 
40.01armB  <  (3480,101) (3480,102) (3481,102) (3481,101) > 
40.03armB  <  (3480,401) (3480,402) (3481,402) (3481,401) > 
40.05armB  <  (3480,701) (3480,702) (3481,702) (3481,701) > 
40.07armB  <  (3480,1001) (3480,1002) (3481,1002) (3481,1001) > 
40.09armB  <  (3480,1301) (3480,1302) (3481,1302) (3481,1301) > 
40.11armB  <  (3480,1601) (3480,1602) (3481,1602) (3481,1601) > 
40.13armB  <  (3480,1901) (3480,1902) (3481,1902) (3481,1901) > 
40.15armB  <  (3480,2201) (3480,2202) (3481,2202) (3481,2201) > 
40.17armB  <  (3480,2501) (3480,2502) (3481,2502) (3481,2501) > 
40.19armB  <  (3480,2801) (3480,2802) (3481,2802) (3481,2801) > 
40.21armB  <  (3480,3101) (3480,3102) (3481,3102) (3481,3101) > 
40.23armB  <  (3480,3401) (3480,3402) (3481,3402) (3481,3401) > 
40.25armB  <  (3480,3701) (3480,3702) (3481,3702) (3481,3701) > 
40.27armB  <  (3480,4001) (3480,4002) (3481,4002) (3481,4001) > 
40.29armB  <  (3480,4301) (3480,4302) (3481,4302) (3481,4301) > 
40.31armB  <  (3480,4601) (3480,4602) (3481,4602) (3481,4601) > 
40.33armB  <  (3480,4901) (3480,4902) (3481,4902) (3481,4901) > 
41.02armB  <  (3567,251) (3567,252) (3568,252) (3568,251) > 
41.04armB  <  (3567,551) (3567,552) (3568,552) (3568,551) > 
41.06armB  <  (3567,851) (3567,852) (3568,852) (3568,851) > 
41.08armB  <  (3567,1151) (3567,1152) (3568,1152) (3568,1151) > 
41.10armB  <  (3567,1451) (3567,1452) (3568,1452) (3568,1451) > 
41.12armB  <  (3567,1751) (3567,1752) (3568,1752) (3568,1751) > 
41.14armB  <  (3567,2051) (3567,2052) (3568,2052) (3568,2051) > 
41.16armB  <  (3567,2351) (3567,2352) (3568,2352) (3568,2351) > 
41.18armB  <  (3567,2651) (3567,2652) (3568,2652) (3568,2651) > 
41.20armB  <  (3567,2951) (3567,2952) (3568,2952) (3568,2951) > 
41.22armB  <  (3567,3251) (3567,3252) (3568,3252) (3568,3251) > 
41.24armB  <  (3567,3551) (3567,3552) (3568,3552) (3568,3551) > 
41.26armB  <  (3567,3851) (3567,3852) (3568,3852) (3568,3851) > 
41.28armB  <  (3567,4151) (3567,4152) (3568,4152) (3568,4151) > 
41.30armB  <  (3567,4451) (3567,4452) (3568,4452) (3568,4451) > 
41.32armB  <  (3567,4751) (3567,4752) (3568,4752) (3568,4751) > 
41.34armB  <  (3567,5051) (3567,5052) (3568,5052) (3568,5051) > 
42.01armB  <  (3654,101) (3654,102) (3655,102) (3655,101) > 
42.03armB  <  (3654,401) (3654,402) (3655,402) (3655,401) > 
42.05armB  <  (3654,701) (3654,702) (3655,702) (3655,701) > 
42.07armB  <  (3654,1001) (3654,1002) (3655,1002) (3655,1001) > 
42.09armB  <  (3654,1301) (3654,1302) (3655,1302) (3655,1301) > 
42.11armB  <  (3654,1601) (3654,1602) (3655,1602) (3655,1601) > 
42.13armB  <  (3654,1901) (3654,1902) (3655,1902) (3655,1901) > 
42.15armB  <  (3654,2201) (3654,2202) (3655,2202) (3655,2201) > 
42.17armB  <  (3654,2501) (3654,2502) (3655,2502) (3655,2501) > 
42.19armB  <  (3654,2801) (3654,2802) (3655,2802) (3655,2801) > 
42.21armB  <  (3654,3101) (3654,3102) (3655,3102) (3655,3101) > 
42.23armB  <  (3654,3401) (3654,3402) (3655,3402) (3655,3401) > 
42.25armB  <  (3654,3701) (3654,3702) (3655,3702) (3655,3701) > 
42.27armB  <  (3654,4001) (3654,4002) (3655,4002) (3655,4001) > 
42.29armB  <  (3654,4301) (3654,4302) (3655,4302) (3655,4301) > 
42.31armB  <  (3654,4601) (3654,4602) (3655,4602) (3655,4601) > 
42.33armB  <  (3654,4901) (3654,4902) (3655,4902) (3655,4901) > 
43.02armB  <  (3741,251) (3741,252) (3742,252) (3742,251) > 
43.04armB  <  (3741,551) (3741,552) (3742,552) (3742,551) > 
43.06armB  <  (3741,851) (3741,852) (3742,852) (3742,851) > 
43.08armB  <  (3741,1151) (3741,1152) (3742,1152) (3742,1151) > 
43.10armB  <  (3741,1451) (3741,1452) (3742,1452) (3742,1451) > 
43.12armB  <  (3741,1751) (3741,1752) (3742,1752) (3742,1751) > 
43.14armB  <  (3741,2051) (3741,2052) (3742,2052) (3742,2051) > 
43.16armB  <  (3741,2351) (3741,2352) (3742,2352) (3742,2351) > 
43.18armB  <  (3741,2651) (3741,2652) (3742,2652) (3742,2651) > 
43.20armB  <  (3741,2951) (3741,2952) (3742,2952) (3742,2951) > 
43.22armB  <  (3741,3251) (3741,3252) (3742,3252) (3742,3251) > 
43.24armB  <  (3741,3551) (3741,3552) (3742,3552) (3742,3551) > 
43.26armB  <  (3741,3851) (3741,3852) (3742,3852) (3742,3851) > 
43.28armB  <  (3741,4151) (3741,4152) (3742,4152) (3742,4151) > 
43.30armB  <  (3741,4451) (3741,4452) (3742,4452) (3742,4451) > 
43.32armB  <  (3741,4751) (3741,4752) (3742,4752) (3742,4751) > 
43.34armB  <  (3741,5051) (3741,5052) (3742,5052) (3742,5051) > 
44.01armB  <  (3828,101) (3828,102) (3829,102) (3829,101) > 
44.03armB  <  (3828,401) (3828,402) (3829,402) (3829,401) > 
44.05armB  <  (3828,701) (3828,702) (3829,702) (3829,701) > 
44.07armB  <  (3828,1001) (3828,1002) (3829,1002) (3829,1001) > 
44.09armB  <  (3828,1301) (3828,1302) (3829,1302) (3829,1301) > 
44.11armB  <  (3828,1601) (3828,1602) (3829,1602) (3829,1601) > 
44.13armB  <  (3828,1901) (3828,1902) (3829,1902) (3829,1901) > 
44.15armB  <  (3828,2201) (3828,2202) (3829,2202) (3829,2201) > 
44.17armB  <  (3828,2501) (3828,2502) (3829,2502) (3829,2501) > 
44.19armB  <  (3828,2801) (3828,2802) (3829,2802) (3829,2801) > 
44.21armB  <  (3828,3101) (3828,3102) (3829,3102) (3829,3101) > 
44.23armB  <  (3828,3401) (3828,3402) (3829,3402) (3829,3401) > 
44.25armB  <  (3828,3701) (3828,3702) (3829,3702) (3829,3701) > 
44.27armB  <  (3828,4001) (3828,4002) (3829,4002) (3829,4001) > 
44.29armB  <  (3828,4301) (3828,4302) (3829,4302) (3829,4301) > 
44.31armB  <  (3828,4601) (3828,4602) (3829,4602) (3829,4601) > 
44.33armB  <  (3828,4901) (3828,4902) (3829,4902) (3829,4901) > 
45.02armB  <  (3915,251) (3915,252) (3916,252) (3916,251) > 
45.04armB  <  (3915,551) (3915,552) (3916,552) (3916,551) > 
45.06armB  <  (3915,851) (3915,852) (3916,852) (3916,851) > 
45.08armB  <  (3915,1151) (3915,1152) (3916,1152) (3916,1151) > 
45.10armB  <  (3915,1451) (3915,1452) (3916,1452) (3916,1451) > 
45.12armB  <  (3915,1751) (3915,1752) (3916,1752) (3916,1751) > 
45.14armB  <  (3915,2051) (3915,2052) (3916,2052) (3916,2051) > 
45.16armB  <  (3915,2351) (3915,2352) (3916,2352) (3916,2351) > 
45.18armB  <  (3915,2651) (3915,2652) (3916,2652) (3916,2651) > 
45.20armB  <  (3915,2951) (3915,2952) (3916,2952) (3916,2951) > 
45.22armB  <  (3915,3251) (3915,3252) (3916,3252) (3916,3251) > 
45.24armB  <  (3915,3551) (3915,3552) (3916,3552) (3916,3551) > 
45.26armB  <  (3915,3851) (3915,3852) (3916,3852) (3916,3851) > 
45.28armB  <  (3915,4151) (3915,4152) (3916,4152) (3916,4151) > 
45.30armB  <  (3915,4451) (3915,4452) (3916,4452) (3916,4451) > 
45.32armB  <  (3915,4751) (3915,4752) (3916,4752) (3916,4751) > 
45.34armB  <  (3915,5051) (3915,5052) (3916,5052) (3916,5051) > 
46.01armB  <  (4002,101) (4002,102) (4003,102) (4003,101) > 
46.03armB  <  (4002,401) (4002,402) (4003,402) (4003,401) > 
46.05armB  <  (4002,701) (4002,702) (4003,702) (4003,701) > 
46.07armB  <  (4002,1001) (4002,1002) (4003,1002) (4003,1001) > 
46.09armB  <  (4002,1301) (4002,1302) (4003,1302) (4003,1301) > 
46.11armB  <  (4002,1601) (4002,1602) (4003,1602) (4003,1601) > 
46.13armB  <  (4002,1901) (4002,1902) (4003,1902) (4003,1901) > 
46.15armB  <  (4002,2201) (4002,2202) (4003,2202) (4003,2201) > 
46.17armB  <  (4002,2501) (4002,2502) (4003,2502) (4003,2501) > 
46.19armB  <  (4002,2801) (4002,2802) (4003,2802) (4003,2801) > 
46.21armB  <  (4002,3101) (4002,3102) (4003,3102) (4003,3101) > 
46.23armB  <  (4002,3401) (4002,3402) (4003,3402) (4003,3401) > 
46.25armB  <  (4002,3701) (4002,3702) (4003,3702) (4003,3701) > 
46.27armB  <  (4002,4001) (4002,4002) (4003,4002) (4003,4001) > 
46.29armB  <  (4002,4301) (4002,4302) (4003,4302) (4003,4301) > 
46.31armB  <  (4002,4601) (4002,4602) (4003,4602) (4003,4601) > 
46.33armB  <  (4002,4901) (4002,4902) (4003,4902) (4003,4901) > 
47.02armB  <  (4089,251) (4089,252) (4090,252) (4090,251) > 
47.04armB  <  (4089,551) (4089,552) (4090,552) (4090,551) > 
47.06armB  <  (4089,851) (4089,852) (4090,852) (4090,851) > 
47.08armB  <  (4089,1151) (4089,1152) (4090,1152) (4090,1151) > 
47.10armB  <  (4089,1451) (4089,1452) (4090,1452) (4090,1451) > 
47.12armB  <  (4089,1751) (4089,1752) (4090,1752) (4090,1751) > 
47.14armB  <  (4089,2051) (4089,2052) (4090,2052) (4090,2051) > 
47.16armB  <  (4089,2351) (4089,2352) (4090,2352) (4090,2351) > 
47.18armB  <  (4089,2651) (4089,2652) (4090,2652) (4090,2651) > 
47.20armB  <  (4089,2951) (4089,2952) (4090,2952) (4090,2951) > 
47.22armB  <  (4089,3251) (4089,3252) (4090,3252) (4090,3251) > 
47.24armB  <  (4089,3551) (4089,3552) (4090,3552) (4090,3551) > 
47.26armB  <  (4089,3851) (4089,3852) (4090,3852) (4090,3851) > 
47.28armB  <  (4089,4151) (4089,4152) (4090,4152) (4090,4151) > 
47.30armB  <  (4089,4451) (4089,4452) (4090,4452) (4090,4451) > 
47.32armB  <  (4089,4751) (4089,4752) (4090,4752) (4090,4751) > 
47.34armB  <  (4089,5051) (4089,5052) (4090,5052) (4090,5051) > 
48.01armB  <  (4150,105) (4150,106) (4151,106) (4151,105) > 
